PcHyp_1	PcHyp_2	PcHyp_3	LaPc18_1	LaPc18_2	LaPc18_3	LaPc30_1	LaPc30_2	LaPc30_3	LaPc48_1	LaPc48_2	LaPc48_3
IUM83_00001	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00002	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00003	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00004	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00005	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00006	1	0	0	0	0	0	0	0	0	0	1	2
IUM83_00007	1625	1428	1720	14	23	10	122	106	53	176	286	206
IUM83_00008	859	863	979	5	4	6	82	116	34	517	849	349
IUM83_00009	1293	1067	1199	6	20	3	87	44	36	107	184	132
IUM83_00010	57	51	64	0	0	0	0	0	0	3	10	10
IUM83_00011	74	49	48	0	0	0	0	3	0	3	11	15
IUM83_00012	12523	11316	14275	688	1054	327	6283	4695	2274	4489	7484	6255
IUM83_00013	464	400	558	1	3	2	31	33	8	61	123	91
IUM83_00014	2995	3024	2740	45	80	14	359	349	114	501	941	720
IUM83_00015	4913	4194	4133	46	79	21	526	529	232	795	1280	991
IUM83_00016	547	519	529	8	3	0	36	28	15	61	109	87
IUM83_00017	9190	7435	7881	108	148	53	974	852	411	1229	1732	1297
IUM83_00018	3760	2861	3566	7	13	6	245	280	101	476	844	727
IUM83_00019	588	526	565	0	3	1	9	5	2	43	82	39
IUM83_00020	419	357	452	0	2	0	22	21	6	45	86	40
IUM83_00021	1121	1087	1022	14	12	8	99	94	56	195	318	244
IUM83_00022	10334	8839	9561	64	100	18	953	850	329	1645	2809	2082
IUM83_00023	1225	1083	1283	22	28	18	186	142	74	243	356	329
IUM83_00024	232	165	149	0	2	1	115	160	39	210	179	138
IUM83_00025	1919	1636	1664	6	16	1	68	69	34	151	205	148
IUM83_00026	823	887	920	99	208	59	827	504	291	481	621	661
IUM83_00027	588	411	578	5	6	5	50	21	17	62	86	79
IUM83_00028	298	334	374	1	9	3	55	35	12	71	89	85
IUM83_00029	95	130	91	0	0	0	2	1	0	13	12	2
IUM83_00030	12831	9365	10620	98	140	30	1459	1273	502	1904	2740	1992
IUM83_00031	1060	835	1063	10	20	3	117	120	48	205	343	250
IUM83_00032	749	525	623	76	154	21	722	460	225	490	907	605
IUM83_00033	228	212	280	0	0	0	2	0	0	24	43	75
IUM83_00034	425	389	467	3	5	0	34	25	13	68	85	77
IUM83_00035	253	258	335	2	10	0	42	19	8	42	61	42
IUM83_00036	5546	3976	4204	10	14	5	101	118	45	161	425	352
IUM83_00037	1083	888	996	24	31	12	241	240	79	370	498	407
IUM83_00038	715	754	1006	148	221	74	606	420	230	408	498	312
IUM83_00039	4	1	1	0	0	0	0	0	0	0	0	0
IUM83_00040	2021	1348	1195	8	12	13	91	103	46	133	222	228
IUM83_00041	9373	7683	9807	119	170	55	1228	1249	489	1905	3306	2951
IUM83_00042	66	92	105	0	1	0	0	3	1	3	10	9
IUM83_00043	3121	3023	3027	0	1	0	52	59	16	337	358	231
IUM83_00044	135	119	162	13	17	3	69	54	33	45	100	99
IUM83_00045	3738	3210	2513	14	29	18	142	119	54	106	154	125
IUM83_00046	9939	8214	7903	7	10	5	161	202	68	762	1206	1021
IUM83_00047	56929	48293	56191	260	376	59	3218	3039	1192	4808	8736	6647
IUM83_00048	2133	2056	2204	41	58	24	249	199	81	284	389	331
IUM83_00049	2381	1886	2281	16	29	3	127	118	69	173	341	264
IUM83_00050	2774	2253	2654	0	0	0	14	49	16	303	664	581
IUM83_00051	1064	954	1054	21	22	7	180	127	69	173	267	185
IUM83_00052	761	718	644	6	9	4	19	43	5	115	226	109
IUM83_00053	7	18	16	1	6	6	22	19	9	24	33	21
IUM83_00054	52	36	50	0	0	0	0	0	0	0	2	7
IUM83_00055	1527	1611	1725	0	13	6	58	37	19	83	131	168
IUM83_00056	0	1	0	0	0	0	0	0	0	0	0	0
IUM83_00057	1	3	0	0	0	0	0	0	0	0	2	0
IUM83_00058	0	2	1	0	0	0	0	0	0	0	0	0
IUM83_00059	1414	1483	1478	53	95	32	410	342	165	507	777	626
IUM83_00060	26	10	13	0	0	0	0	0	0	0	1	2
IUM83_00061	953	755	998	12	27	15	125	102	26	174	179	157
IUM83_00062	8067	5789	7125	54	88	29	615	537	268	1251	1659	1188
IUM83_00063	249	211	249	1	5	4	17	17	5	51	43	24
IUM83_00064	2740	2441	2766	28	41	8	145	174	71	395	537	329
IUM83_00065	1763	1867	1557	22	29	5	236	164	95	255	373	337
IUM83_00066	3332	2631	2805	18	16	11	152	163	80	377	555	458
IUM83_00067	850	697	892	120	198	74	496	374	223	330	391	283
IUM83_00068	227	184	201	7	12	6	56	26	22	45	56	39
IUM83_00069	2802	1983	2352	0	2	0	15	11	6	174	176	152
IUM83_00070	2315	1953	2389	70	109	28	559	400	202	536	847	780
IUM83_00071	1342	1004	1321	7	15	2	108	112	54	327	496	415
IUM83_00072	443	440	502	30	47	15	128	68	54	78	132	94
IUM83_00073	613	550	599	4	13	6	72	53	19	70	89	100
IUM83_00074	3500	2989	3408	30	42	9	275	269	93	422	654	528
IUM83_00075	2543	2536	2125	36	48	15	392	305	153	391	613	493
IUM83_00076	662	511	658	17	23	13	206	136	64	131	196	174
IUM83_00077	1474	1316	1346	19	21	9	131	116	49	161	230	180
IUM83_00078	753	573	666	0	0	0	16	16	2	52	73	50
IUM83_00079	167	141	152	1	0	0	7	2	7	10	36	24
IUM83_00080	159	146	159	2	0	3	2	13	1	14	14	15
IUM83_00081	567	495	720	3	9	2	34	31	17	82	117	82
IUM83_00082	359	261	375	12	8	1	41	42	15	60	55	45
IUM83_00083	169	131	180	3	1	2	3	2	2	91	444	159
IUM83_00084	149	91	132	0	0	4	4	5	1	106	398	81
IUM83_00085	63	26	45	2	2	0	6	4	2	11	11	8
IUM83_00086	669	590	544	4	3	1	32	20	8	89	129	70
IUM83_00087	46	30	53	2	0	0	2	0	1	8	7	5
IUM83_00088	135	84	115	3	0	0	4	5	2	85	249	103
IUM83_00089	149	83	143	0	1	0	4	4	2	76	330	118
IUM83_00090	279	213	151	0	2	0	7	11	0	20	28	24
IUM83_00091	4146	3598	4041	19	44	14	335	332	132	685	1122	851
IUM83_00092	2664	2024	2251	12	16	5	96	84	39	226	416	197
IUM83_00093	317	182	205	0	1	0	15	16	6	72	111	98
IUM83_00094	13463	11871	15528	176	220	91	1771	1829	725	2361	4200	3841
IUM83_00095	7	6	5	9	58	1	257	605	156	552	735	513
IUM83_00096	436	350	442	129	189	64	1050	788	382	540	1062	801
IUM83_00097	871	746	896	15	16	8	82	59	63	84	172	105
IUM83_00098	2494	2164	2260	35	57	28	342	214	88	350	562	527
IUM83_00099	315	335	490	0	0	0	0	0	0	21	32	46
IUM83_00100	0	1	1	0	0	0	1	0	0	0	1	0
IUM83_00101	10	3	9	0	1	0	0	1	0	2	1	0
IUM83_00102	496	404	502	3	3	2	46	42	30	147	174	103
IUM83_00103	2068	1810	2173	78	115	23	513	329	176	392	577	465
IUM83_00104	60	55	51	0	0	1	11	9	2	11	8	15
IUM83_00105	16871	14976	15599	163	273	85	1860	1972	806	2585	3679	2670
IUM83_00106	2247	1935	2275	2	5	0	88	117	32	547	1013	811
IUM83_00107	531	404	480	22	22	14	84	68	33	62	116	122
IUM83_00108	35601	37450	29391	1347	2169	709	8889	7833	3832	13472	19807	13906
IUM83_00109	106	217	149	0	3	0	11	11	2	14	19	24
IUM83_00110	3839	2960	4106	23	25	14	233	215	83	509	675	563
IUM83_00111	75	87	91	1	7	1	26	18	11	35	46	46
IUM83_00112	88	104	102	1	5	1	12	20	14	23	34	20
IUM83_00113	1546	1426	1557	9	9	5	78	71	28	128	220	175
IUM83_00114	11448	11344	10561	13	19	1	181	428	105	832	1264	879
IUM83_00115	97	75	40	0	0	0	0	1	0	3	2	3
IUM83_00116	3489	3117	2753	31	33	13	330	281	107	641	1157	616
IUM83_00117	827	862	967	1	3	1	18	33	12	123	213	164
IUM83_00118	6149	5473	6862	99	160	58	1299	1265	452	1208	2415	2168
IUM83_00119	8106	7798	6559	66	106	21	802	729	295	1251	1979	1404
IUM83_00120	1427	803	886	12	5	1	144	119	57	177	273	227
IUM83_00121	481	395	477	10	14	5	55	37	24	102	116	79
IUM83_00122	690	555	585	7	7	0	56	63	25	140	236	149
IUM83_00123	848	718	734	5	3	3	43	43	9	112	118	102
IUM83_00124	4548	3763	3899	30	53	12	353	345	129	883	1112	659
IUM83_00125	970	937	1408	1	2	1	363	372	89	605	1154	1258
IUM83_00126	23	22	23	0	0	0	3	4	3	9	9	9
IUM83_00127	587	489	557	4	1	0	23	19	16	62	84	76
IUM83_00128	412	323	389	11	2	3	78	121	26	420	884	311
IUM83_00129	1287	949	1175	0	2	0	0	3	4	10	10	4
IUM83_00130	1543	1227	1503	29	26	6	183	211	59	463	694	458
IUM83_00131	1630	1416	1431	0	1	0	27	41	6	244	290	178
IUM83_00132	70	73	61	0	0	0	0	1	0	0	5	12
IUM83_00133	2791	2922	2628	19	56	17	365	333	105	587	818	762
IUM83_00134	442	312	429	3	1	6	30	34	9	47	109	66
IUM83_00135	2014	1750	1709	33	62	14	351	282	124	300	525	428
IUM83_00136	525	335	416	0	0	0	16	30	1	61	67	43
IUM83_00137	1312	998	1071	3	4	4	63	115	23	278	296	196
IUM83_00138	7367	6204	7780	32	74	21	413	527	209	1133	1609	1423
IUM83_00139	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00140	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00141	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00142	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00143	126	91	134	0	3	0	274	248	68	191	243	292
IUM83_00144	2754	2189	2571	28	38	13	200	213	79	382	519	445
IUM83_00145	812	732	871	0	0	0	0	0	0	13	32	37
IUM83_00146	4723	4376	4881	186	259	77	1405	1106	571	1003	1712	1337
IUM83_00147	42	49	28	0	0	0	4	5	1	10	14	15
IUM83_00148	4	8	4	0	0	0	0	0	1	2	2	3
IUM83_00149	4656	3602	4487	41	68	22	290	289	133	460	614	470
IUM83_00150	1380	1089	1265	27	22	5	178	115	60	128	214	183
IUM83_00151	512	591	385	3	6	0	64	54	20	99	174	118
IUM83_00152	102	86	133	0	0	0	0	0	0	3	0	6
IUM83_00153	243	148	193	5	7	0	41	18	7	30	34	29
IUM83_00154	34	41	55	0	2	0	7	16	4	20	29	21
IUM83_00155	607	442	748	17	19	11	381	703	123	823	1097	745
IUM83_00156	1878	1383	1452	1	3	0	18	21	6	181	267	151
IUM83_00157	93	72	99	0	7	0	40	142	5	211	546	142
IUM83_00158	3975	3324	3548	26	32	13	266	271	120	448	705	560
IUM83_00159	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00160	663	361	470	26	43	10	228	172	97	187	207	215
IUM83_00161	68	67	86	0	1	0	5	1	0	9	3	12
IUM83_00162	2769	2239	2741	1	0	0	7	18	8	324	357	182
IUM83_00163	0	0	0	0	0	0	0	0	0	1	0	0
IUM83_00164	947	681	703	12	17	11	165	153	61	251	326	230
IUM83_00165	1676	827	1886	18	12	19	323	416	86	1320	1772	3367
IUM83_00166	2454	3803	1783	15	18	10	173	258	91	635	878	601
IUM83_00167	1400	1455	1238	1	0	2	17	22	8	93	152	169
IUM83_00168	29944	22144	26959	60	76	28	1089	1223	424	2752	3753	2645
IUM83_00169	15569	12837	13844	43	54	15	389	617	176	2074	2681	1959
IUM83_00170	241	213	169	23	38	8	192	125	75	96	135	107
IUM83_00171	4181	3568	3136	6	16	4	121	133	43	308	426	444
IUM83_00172	954	813	878	10	5	4	54	63	15	126	197	147
IUM83_00173	1170	970	999	6	3	3	38	24	9	122	156	100
IUM83_00174	67	54	67	2	16	5	34	26	24	18	39	29
IUM83_00175	10	4	3	1	5	0	27	29	8	24	52	43
IUM83_00176	47	45	54	0	4	0	48	45	12	40	76	46
IUM83_00177	60	120	22	3	3	0	20	12	6	4	8	12
IUM83_00178	16	35	12	0	0	0	0	0	0	2	0	0
IUM83_00179	3083	2467	2706	6	12	1	77	90	29	215	363	318
IUM83_00180	160	139	127	1	3	0	12	7	2	21	29	19
IUM83_00181	556	412	637	4	6	0	44	56	27	110	131	128
IUM83_00182	18	9	11	0	0	0	0	1	0	2	2	1
IUM83_00183	498	373	375	0	3	1	37	45	8	79	148	111
IUM83_00184	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00185	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00186	284	214	197	13	28	5	224	251	109	346	459	502
IUM83_00187	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00188	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00189	1181	959	1257	41	65	30	324	338	127	320	472	328
IUM83_00190	40	39	37	2	1	2	15	9	2	9	9	8
IUM83_00191	1598	1148	1613	43	76	25	387	208	163	329	499	389
IUM83_00192	3153	2519	3210	171	273	101	1427	1055	595	1036	1854	1312
IUM83_00193	40604	42626	37133	1077	1591	456	7358	6103	2840	10766	14271	10470
IUM83_00194	1859	1647	2139	8	13	0	122	133	40	243	472	313
IUM83_00195	0	0	4	0	0	0	0	0	0	0	0	0
IUM83_00196	1385	1073	1024	63	50	15	349	240	123	344	429	351
IUM83_00197	1261	948	940	6	8	6	95	66	42	89	161	157
IUM83_00198	1511	1454	1324	11	22	12	182	169	45	290	470	391
IUM83_00199	71174	77424	64248	2495	4080	1253	17268	13431	6870	18444	27808	19615
IUM83_00200	7	6	5	0	0	0	0	0	0	0	0	0
IUM83_00201	236	272	237	0	3	0	6	6	6	8	25	34
IUM83_00202	104	105	118	0	0	0	0	0	0	2	10	3
IUM83_00203	0	4	0	0	0	0	0	0	0	0	0	0
IUM83_00204	489	470	360	2	5	1	19	28	11	84	162	111
IUM83_00205	5303	4482	5399	7	13	3	94	132	52	231	470	477
IUM83_00206	1993	1781	1805	16	13	6	86	83	51	202	288	229
IUM83_00207	6	2	3	0	0	0	0	0	0	9	2	1
IUM83_00208	329	281	458	0	0	3	127	165	26	622	1035	1205
IUM83_00209	1	2	1	0	0	0	4	231	27	1677	1204	465
IUM83_00210	3	2	0	1	0	0	16	544	87	4236	2977	1017
IUM83_00211	313	255	328	0	0	0	1	11	2	114	91	48
IUM83_00212	10002	8403	11001	117	224	82	1772	1572	631	2032	3825	3489
IUM83_00213	902	741	904	0	0	0	6	7	3	17	40	21
IUM83_00214	166	241	317	29	51	13	117	65	39	59	46	88
IUM83_00215	241	251	363	24	38	23	203	116	54	113	226	165
IUM83_00216	1402	1521	1728	19	22	2	119	128	52	190	268	265
IUM83_00217	2169	1662	1870	10	27	2	122	120	34	194	323	200
IUM83_00218	101	126	110	0	0	0	0	2	1	4	8	6
IUM83_00219	689	645	845	2	4	2	87	64	25	138	181	210
IUM83_00220	3470	3244	4769	124	168	57	1005	546	351	778	1491	1888
IUM83_00221	689	622	622	6	3	1	54	51	16	94	129	116
IUM83_00222	10	10	12	0	0	0	0	6	0	0	4	0
IUM83_00223	954	1169	1014	0	1	4	24	22	4	226	330	222
IUM83_00224	383	288	319	6	8	1	26	21	19	61	76	42
IUM83_00225	557	552	545	3	7	6	55	51	31	137	210	148
IUM83_00226	15898	14767	14755	97	107	33	1344	1358	420	2993	4247	2958
IUM83_00227	20	17	45	0	0	0	0	17	0	3	19	6
IUM83_00228	238	177	183	2	3	4	20	25	7	29	35	38
IUM83_00229	16172	15439	24031	713	1164	345	7857	4699	2783	3776	7143	5404
IUM83_00230	2823	2205	3055	157	217	66	1162	773	451	662	1266	949
IUM83_00231	2040	1370	1789	11	33	15	105	92	60	170	276	247
IUM83_00232	2414	2393	2341	23	48	14	205	234	110	414	778	571
IUM83_00233	9111	8528	7547	37	45	17	349	329	138	866	1794	1066
IUM83_00234	1583	1460	1636	0	0	0	11	13	3	150	242	208
IUM83_00235	277	258	162	7	9	1	50	30	14	47	44	46
IUM83_00236	2352	1782	2148	7	14	3	27	16	15	166	266	201
IUM83_00237	301	300	339	12	13	7	72	77	53	116	136	83
