V1	Sample name	Treatment	Stage	Sampling time	Mapped Pc reads	Mapped La reads	Total mapped reads	Accession	Unique reads	Duplicate reads	Total reads	Pc mapped Reads %	Pc mapped ratio	La mapped reads %	La mapped ratio
BS01	LaH0_1	Water Control	Control	0 hpi	7	30381755	30381762	BS01_S2_R1_001_fastq	12197972	23525800	35723772	0	0	100	85.05
BS02	LaH0_2	Water Control	Control	0 hpi	15	33832908	33832923	BS02_S3_R1_001_fastq	12947536	27641621	40589157	0	0	100	83.35
BS03	LaH0_3	Water Control	Control	0 hpi	12	35747366	35747378	BS03_S4_R1_001_fastq	12860053	29127172	41987225	0	0	100	85.14
BS04	LaH18_1	Water Control	Early	18 hpi	48	34126656	34126704	BS04_S5_R1_001_fastq	12127306	28818864	40946170	0	0	100	83.35
BS05	LaH18_2	Water Control	Early	18 hpi	18	43993425	43993443	BS05_S6_R1_001_fastq	13714114	38855003	52569117	0	0	100	83.69
BS06	LaH18_3	Water Control	Early	18 hpi	9	39131539	39131548	BS06_S7_R1_001_fastq	12754434	34124302	46878736	0	0	100	83.47
BS07	LaH30_1	Water Control	Middle	30 hpi	159	29964168	29964327	BS07_S8_R1_001_fastq	11274816	24532358	35807174	0	0	100	83.68
BS08	LaH30_2	Water Control	Middle	30 hpi	32	35706323	35706355	BS08_S9_R1_001_fastq	12627480	30370162	42997642	0	0	100	83.04
BS09	LaH30_3	Water Control	Middle	30 hpi	24	27275481	27275505	BS09_S10_R1_001_fastq	10251933	22395664	32647597	0	0	100	83.55
BS10	LaH48_1	Water Control	Late	48 hpi	8	36614521	36614529	BS10_S11_R1_001_fastq	14191319	30225663	44416982	0	0	100	82.43
BS11	LaH48_2	Water Control	Late	48 hpi	126	19073917	19074043	BS11_S12_R1_001_fastq	17423171	16749401	34172572	0	0	100	55.82
BS12	LaH48_3	Water Control	Late	48 hpi	9	28807207	28807216	BS12_S13_R1_001_fastq	11248597	24775597	36024194	0	0	100	79.97
BS13	PcHyp_1	Hyphae Control	Vegetative	0 hpi	35095057	723	35095780	BS13_S14_R1_001_fastq	11536270	34940717	46476987	100	75.51	0	0
BS14	PcHyp_2	Hyphae Control	Vegetative	0 hpi	31940908	1276	31942184	BS14_S15_R1_001_fastq	10669106	32050047	42719153	100	74.77	0	0
BS15	PcHyp_3	Hyphae Control	Vegetative	0 hpi	33308551	795	33309346	BS15_S16_R1_001_fastq	9876304	33077548	42953852	100	77.54	0	0
BS16	LaPc18_1	Inoculated	Early	18 hpi	592912	34426783	35019695	BS16_S17_R1_001_fastq	11849733	30245414	42095147	1.69	1.41	98.31	81.78
BS17	LaPc18_2	Inoculated	Early	18 hpi	910867	32043657	32954524	BS17_S18_R1_001_fastq	12376016	27132556	39508572	2.76	2.31	97.24	81.11
BS18	LaPc18_3	Inoculated	Early	18 hpi	283922	42666126	42950048	BS18_S19_R1_001_fastq	14551422	37424394	51975816	0.66	0.55	99.34	82.09
BS19	LaPc30_1	Inoculated	Middle	30 hpi	5175589	32946845	38122434	BS19_S20_R1_001_fastq	12716671	33682170	46398841	13.58	11.15	86.42	71.01
BS20	LaPc30_2	Inoculated	Middle	30 hpi	4558646	29000532	33559178	BS20_S21_R1_001_fastq	12025621	28733371	40758992	13.58	11.18	86.42	71.15
BS21	LaPc30_3	Inoculated	Middle	30 hpi	2015833	31248089	33263922	BS21_S22_R1_001_fastq	12355757	27874714	40230471	6.06	5.01	93.94	77.67
BS22	LaPc48_1	Inoculated	Late	48 hpi	7588897	27288561	34877458	BS22_S23_R1_001_fastq	11360518	32256695	43617213	21.76	17.4	78.24	62.56
BS23	LaPc48_2	Inoculated	Late	48 hpi	11549374	23034038	34583412	BS23_S24_R1_001_fastq	11915092	31103252	43018344	33.4	26.85	66.6	53.54
BS24	LaPc48_3	Inoculated	Late	48 hpi	8934234	25607273	34541507	BS24_S25_R1_001_fastq	11967857	31389586	43357443	25.87	20.61	74.13	59.06
