gene_id	product	protein_id
1	IUM83_01698	hypothetical protein	KAG6623595.1
2	IUM83_01699	CMGC/DYRK protein kinase	KAG6623596.1
3	IUM83_01700	cmgc dyrk protein kinase	KAG6623508.1
4	IUM83_01701	cmgc dyrk protein kinase	KAG6623509.1
5	IUM83_01702	hypothetical protein	KAG6623507.1
6	IUM83_01703	zinc finger (chy type)	KAG6623709.1
7	IUM83_01704	DNA replication licensing factor	KAG6623512.1
8	IUM83_01705	isoleucine-tRNA ligase	KAG6623598.1
9	IUM83_01706	Mitochondrial Carrier (MC) Family	KAG6623510.1
10	IUM83_01707	molecular chaperone DnaJ	KAG6623511.1
11	IUM83_01708	serine racemase	KAG6623706.1
12	IUM83_01709	subunit of the ccr4not complex	KAG6623707.1
13	IUM83_01710	putative Serine/threonineprotein phosphatase 4 catalytic subunit	KAG6623773.1
14	IUM83_01711	BolA protein	KAG6623772.1
15	IUM83_01712	putative histone acetyltransferase	KAG6623775.1
16	IUM83_01713	Carbohydrate esterase	KAG6623774.1
17	IUM83_01714	Actin-depolymerizing factor	KAG6623771.1
18	IUM83_01715	hypothetical protein	KAG6623563.1
19	IUM83_01716	putative vacuolar protein	KAG6624023.1
20	IUM83_01717	putative Ca2-dependent phospholipid-binding protein	KAG6623564.1
21	IUM83_01718	Retrovirus-related Gag-pol Polyprotein	KAG6623565.1
22	IUM83_01719	Retrovirus Polyprotein	KAG6623585.1
23	IUM83_01720	hypothetical protein	KAG6624052.1
24	IUM83_01721	CAMK/CAMK1 protein kinase	KAG6623728.1
25	IUM83_01722	hypothetical protein	KAG6623719.1
26	IUM83_01723	hypothetical protein	KAG6623729.1
27	IUM83_01724	Neutral zinc metallopeptidase	KAG6624050.1
28	IUM83_01725	Amino acid/auxin permease-like protein	KAG6623730.1
29	IUM83_01726	THO complex subunit 6	KAG6624051.1
30	IUM83_01727	Ubiquitin-specific protease	KAG6624053.1
31	IUM83_01728	kinesin-like protein	KAG6624055.1
32	IUM83_01729	Protein kinase	KAG6624056.1
33	IUM83_01730	Protein Kinase	KAG6623739.1
34	IUM83_01731	CAMK/CAMK1 protein kinase	KAG6623738.1
35	IUM83_01732	monovalent Cation:Proton Antiporter-2 (CPA2) family	KAG6623737.1
36	IUM83_01733	DUF1295 domain-containing protein	KAG6623736.1
37	IUM83_01734	putative RxLR effector	KAG6623743.1
38	IUM83_01735	putative RxLR effector	KAG6623742.1
39	IUM83_01736	phosphatidylinositol 3 and 4-kinase-like protein	KAG6623984.1
40	IUM83_01737	tubulin-tyrosine ligase family	KAG6623741.1
41	IUM83_01738	GTP-binding protein SAR1	KAG6623985.1
42	IUM83_01739	Vacuolar sorting protein SNF8	KAG6624037.1
43	IUM83_01740	zinc finger CCCH domain-containing protein 3	KAG6623610.1
44	IUM83_01741	CAMK protein kinase	KAG6623567.1
45	IUM83_01742	hypothetical protein	KAG6623600.1
46	IUM83_01743	calcium-binding protein CML22	KAG6623655.1
47	IUM83_01744	putative 1-acyl-sn-glycerol-3-phosphate acyltransferase	KAG6623653.1
48	IUM83_01745	Serine/threonine-protein kinase PLK4	KAG6623654.1
49	IUM83_01746	PLK protein kinase	KAG6623731.1
50	IUM83_01747	plk protein kinase	KAG6623566.1
51	IUM83_01748	hypothetical protein	KAG6623568.1
52	IUM83_01749	ATP-binding Cassette (ABC) Superfamily	KAG6623863.1
53	IUM83_01750	Golgi reassembly stacking protein GRASP65, contains PDZ domain	KAG6623951.1
54	IUM83_01751	CAMK protein kinase	KAG6623949.1
55	IUM83_01752	Concanavalin A-like lectin/glucanase, subgroup	KAG6623838.1
56	IUM83_01753	CAMK protein kinase	KAG6623953.1
57	IUM83_01754	ATP-binding Cassette (ABC) Superfamily	KAG6623955.1
58	IUM83_01755	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent	KAG6623954.1
59	IUM83_01756	SANT/Myb domain	KAG6623839.1
60	IUM83_01757	DNA binding protein	KAG6623776.1
61	IUM83_01758	Serine/threonine protein kinase	KAG6623777.1
62	IUM83_01759	putative methyltransferase domain-containing protein	KAG6623956.1
63	IUM83_01760	putative transmembrane protein	KAG6623540.1
64	IUM83_01761	hypothetical protein	KAG6623541.1
65	IUM83_01762	Copia protein	KAG6623712.1
66	IUM83_01763	Integrase catalytic core protein	KAG6623542.1
67	IUM83_01764	Integrase catalytic core protein	KAG6623536.1
68	IUM83_01765	Gamma-butyrobetaine dioxygenase	KAG6623537.1
69	IUM83_01766	translation elongation factor IF5A	KAG6623538.1
70	IUM83_01767	actin depolymerizing factor	KAG6623710.1
71	IUM83_01768	Zinc finger, RING/FYVE/PHD-type	KAG6623534.1
72	IUM83_01769	Zinc finger, RING/FYVE/PHD-type	KAG6623535.1
73	IUM83_01770	TMS membrane protein	KAG6623814.1
74	IUM83_01771	Transcription factor IIB	KAG6623644.1
75	IUM83_01772	Transcription factor IIB	KAG6623643.1
76	IUM83_01773	3'5'-cyclic nucleotide phosphodiesterase family protein	KAG6623813.1
77	IUM83_01774	hypothetical protein	KAG6623812.1
78	IUM83_01775	putative Rho/Rac guanine nucleotide exchange factor/faciogenital dysplasia protein 3	KAG6623811.1
79	IUM83_01776	hypothetical protein	KAG6623986.1
80	IUM83_01777	short chain dehydrogenase reductase family oxidoreductase	KAG6623810.1
81	IUM83_01778	uracil phosphoribosyltransferase	KAG6623642.1
82	IUM83_01779	hypothetical protein	KAG6623641.1
83	IUM83_01780	kinesin-like protein	KAG6623989.1
84	IUM83_01781	hypothetical protein	KAG6623990.1
85	IUM83_01782	Proteasome subunit alpha type-6	KAG6623987.1
86	IUM83_01783	Urate catabolism protein	KAG6623988.1
87	IUM83_01784	UV radiation resistance-associated protein	KAG6623991.1
88	IUM83_01785	sporangia induced phosphatidyl inositol kinase	KAG6623681.1
89	IUM83_01786	FAM86A protein	KAG6623679.1
90	IUM83_01787	Guanine nucleotide-binding protein	KAG6623680.1
91	IUM83_01788	intraflagellar transport protein 172	KAG6623992.1
92	IUM83_01789	putative phosphatidylinositol N-acetylglucosaminyltransferase subunit C	KAG6623683.1
93	IUM83_01790	LHY protein	KAG6623693.1
94	IUM83_01791	tRNA-splicing endonuclease, subunit Sen54, N-terminal	KAG6623692.1
95	IUM83_01792	DNA damage-responsive repressor GIS1/RPH1, jumonji superfamily	KAG6623695.1
96	IUM83_01793	(+)-neomenthol dehydrogenase	KAG6623694.1
97	IUM83_01794	ADP-ribosylation factor 1	KAG6623690.1
98	IUM83_01795	Integrator complex subunit 3	KAG6623689.1
99	IUM83_01796	putative Hect-domain containing peotein	KAG6623587.1
100	IUM83_01797	Leucine rich repeat protein	KAG6623691.1
101	IUM83_01798	divalent anion:Na symporter (DASS) family protein	KAG6623504.1
102	IUM83_01799	Vacuolar protein sorting-associated protein	KAG6623618.1
103	IUM83_01800	Histone acetyltransferase	KAG6623667.1
104	IUM83_01801	hypothetical protein	KAG6623666.1
105	IUM83_01802	transcription factor Dp-1	KAG6623669.1
106	IUM83_01803	mago nashi-like protein	KAG6623668.1
107	IUM83_01804	putative Rab5 family GTPase	KAG6623837.1
108	IUM83_01805	ORM1-like protein	KAG6623663.1
109	IUM83_01806	hypothetical protein	KAG6623665.1
110	IUM83_01807	hypothetical protein	KAG6623664.1
111	IUM83_01808	hypothetical protein	KAG6623662.1
112	IUM83_01809	hypothetical protein	KAG6623661.1
113	IUM83_01810	hypothetical protein	KAG6623964.1
114	IUM83_01811	Gag-pol fusion protein	KAG6623489.1
115	IUM83_01812	hypothetical protein	KAG6623962.1
116	IUM83_01813	Trafficking protein particle complex subunit 8	KAG6623963.1
117	IUM83_01814	Trafficking protein particle complex subunit 8	KAG6623968.1
118	IUM83_01815	coatomer protein	KAG6623969.1
119	IUM83_01816	Coatomer subunit alpha-1	KAG6623586.1
120	IUM83_01817	CCAAT-binding transcription factor	KAG6623967.1
121	IUM83_01818	Malonyl-CoA decarboxylase	KAG6623970.1
122	IUM83_01819	U4/U6 small nuclear ribonucleoprotein Prp4	KAG6623971.1
123	IUM83_01820	Protease-associated domain, PA	KAG6623952.1
124	IUM83_01821	3-demethylubiquinone-9 3-O-methyltransferase	KAG6623648.1
125	IUM83_01822	hypothetical protein	KAG6623950.1
126	IUM83_01823	sorting nexin 1	KAG6623647.1
127	IUM83_01824	Glucose-induced degradation protein 8	KAG6623652.1
128	IUM83_01825	hypothetical protein	KAG6623651.1
129	IUM83_01826	serine/threonine protein kinase	KAG6623650.1
130	IUM83_01827	hypothetical protein	KAG6623649.1
131	IUM83_01828	hypothetical protein	KAG6623646.1
132	IUM83_01829	Ca2 :Cation Antiporter (CaCA) Family	KAG6623645.1
133	IUM83_01830	putative DEAD/DEAH box RNA helicase	KAG6623943.1
134	IUM83_01831	phospholipid-translocating P-type ATPase, flippase subfamily protein	KAG6623944.1
135	IUM83_01832	hypothetical protein	KAG6623945.1
136	IUM83_01833	DASH complex subunit Dad4	KAG6623929.1
137	IUM83_01834	Voltage-gated Ion Channel (VIC) Superfamily	KAG6623946.1
138	IUM83_01835	hypothetical protein	KAG6623630.1
139	IUM83_01836	hypothetical protein	KAG6623947.1
140	IUM83_01837	putative calcium-binding protein CML21	KAG6623948.1
141	IUM83_01838	putative calcium-binding protein CML21	KAG6623941.1
142	IUM83_01839	transcription initiation factor tfiid subunit	KAG6623942.1
143	IUM83_01840	hypothetical protein	KAG6623787.1
144	IUM83_01841	histone chaperone ASF1-like protein	KAG6623752.1
145	IUM83_01842	protein arginine N-methyltransferase 1	KAG6623754.1
146	IUM83_01843	60S ribosomal protein L24	KAG6623734.1
147	IUM83_01844	putative aminotransferase	KAG6623713.1
148	IUM83_01845	PLP-dependent aminotransferase family protein	KAG6623755.1
149	IUM83_01846	Tricarboxylate transporter	KAG6623715.1
150	IUM83_01847	hypothetical protein	KAG6623714.1
151	IUM83_01848	hypothetical protein	KAG6623733.1
152	IUM83_01849	Tetratricopeptide repeat protein 6	KAG6623711.1
153	IUM83_01850	ptype atpase	KAG6624035.1
154	IUM83_01851	WD40/YVTN repeat-like-containing domain	KAG6624036.1
155	IUM83_01852	hypothetical protein	KAG6624018.1
156	IUM83_01853	mrna capping enzyme	KAG6624019.1
157	IUM83_01854	CCAAT-binding transcription factor	KAG6624017.1
158	IUM83_01855	putative protein phosphatase 1 regulatory subunit 7	KAG6624034.1
159	IUM83_01856	putative protein BRICK1-B	KAG6624015.1
160	IUM83_01857	Betaine aldehyde dehydrogenase	KAG6624016.1
161	IUM83_01858	Exosomal 3'-5' exoribonuclease complex, subunit Rrp46	KAG6624012.1
162	IUM83_01859	WD40/YVTN repeat-like-containing domain	KAG6624013.1
163	IUM83_01860	endonuclease/exonuclease/phosphatase family domain-containing protein 1-like	KAG6623623.1
164	IUM83_01861	Amino Acid/Auxin Permease (AAAP) Family	KAG6623700.1
165	IUM83_01862	mannitol 1-phosphate dehydrogenase	KAG6623622.1
166	IUM83_01863	mannitol 1-phosphate dehydrogenase	KAG6623699.1
167	IUM83_01864	T-complex protein 1 subunit gamma	KAG6623800.1
168	IUM83_01865	Tetratricopeptide repeat protein 40	KAG6623698.1
169	IUM83_01866	Tetratricopeptide repeat protein 40	KAG6623697.1
170	IUM83_01867	GPI mannosyltransferase 1	KAG6623696.1
171	IUM83_01868	putative copper-transporting ATPase	KAG6623624.1
172	IUM83_01869	hypothetical protein	KAG6623918.1
173	IUM83_01870	putative copper-transporting ATPase	KAG6623999.1
174	IUM83_01871	hypothetical protein	KAG6624000.1
175	IUM83_01872	glyceraldehyde-3-phosphate dehydrogenase, type I	KAG6624001.1
176	IUM83_01873	flagella associated protein	KAG6624002.1
177	IUM83_01874	6,7-dimethyl-8-ribityllumazine synthase	KAG6623995.1
178	IUM83_01875	hypothetical protein	KAG6623996.1
179	IUM83_01876	putative Transposase	KAG6623997.1
180	IUM83_01877	Ubiquitin-specific protease	KAG6623998.1
181	IUM83_01878	iq and ubiquitin-like domain-containing	KAG6624004.1
182	IUM83_01879	hypothetical protein	KAG6624005.1
183	IUM83_01880	putative Chloride Channel (ClC) Family	KAG6624007.1
184	IUM83_01881	arginine N-methyltransferase	KAG6623614.1
185	IUM83_01882	Pre-mRNA-splicing factor ATP-dependent RNA helicase	KAG6624009.1
186	IUM83_01883	Ras-related protein RAB1BV	KAG6624008.1
