"gene_id","protein_id","description","BP_Term","BP_GO_IDs","MF_Term","MF_GO_IDs","CC_Term","CC_GO_IDs","SP..TM","Prediction"
"IUM83_18979","KAG6572493.1","hypothetical protein IUM83_18979","-","-","-","-","-","-","Yes, 1","Non-effector"
"IUM83_18978","KAG6572494.1","hypothetical protein IUM83_18978","-","-","-","-","-","-","No, 0","-"
"IUM83_18977","KAG6572495.1","NLRC3 protein","-","-","-","-","-","-","No, 0","-"
"IUM83_18976","KAG6572496.1","aureochrome1-like protein","regulation of DNA-templated transcription; -","GO:0006355; -","-; DNA-binding transcription factor activity","-; GO:0003700","-","-","No, 0","-"
"IUM83_18974","KAG6572497.1","Condensin-2 complex subunit D3","mitotic chromosome condensation","GO:0007076","-","-","-","-","No, 0","-"
"IUM83_18972","KAG6572498.1","YIPF6-like protein","-","-","-","-","membrane","GO:0016020","No, 5","-"
"IUM83_18971","KAG6572499.1","putative oxidoreductase C19A8.06","-","-","oxidoreductase activity","GO:0016491","-","-","No, 0","-"
"IUM83_18970","KAG6572500.1","A-kinase anchor protein 7 isoforms delta and gamma-like","-","-","-","-","-","-","No, 0","-"
"IUM83_18970","KAG6572501.1","A-kinase anchor protein 7 isoforms delta and gamma-like","-","-","-","-","-","-","No, 0","-"
"IUM83_18951","KAG6572502.1","hypothetical protein IUM83_18951","-","-","-","-","-","-","No, 0","-"
"IUM83_18950","KAG6572503.1","Amino acid/polyamine transporter","transmembrane transport; -","GO:0055085; -","-; transmembrane transporter activity","-; GO:0022857","-; membrane","-; GO:0016020","No, 4","-"
"IUM83_18953","KAG6572504.1","C-terminal domain of 1-Cys peroxiredoxin","cellular oxidant detoxification; -","GO:0098869; -","-; antioxidant activity; oxidoreductase activity; peroxiredoxin activity","-; GO:0016209; GO:0016491; GO:0051920","-","-","No, 0","-"
"IUM83_18952","KAG6572505.1","Mutatorlike Transposase","-","-","zinc ion binding; -","GO:0008270; -","-; membrane","-; GO:0016020","No, 0","-"
"IUM83_18955","KAG6572506.1","putative secreted RxLR effector protein","-","-","-","-","extracellular region","GO:0005576","Yes, 0","-"
"IUM83_18954","KAG6572507.1","peroxiredoxin-4","cellular oxidant detoxification; -","GO:0098869; -","-; antioxidant activity; oxidoreductase activity; peroxiredoxin activity","-; GO:0016209; GO:0016491; GO:0051920","-","-","No, 0","-"
"IUM83_18957","KAG6572508.1","putative voltage-gated potassium channel subunit beta","-","-","D-threo-aldose 1-dehydrogenase activity","GO:0047834","-","-","No, 0","-"
"IUM83_18956","KAG6572509.1","putative secreted RxLR effector protein","-","-","-","-","extracellular region","GO:0005576","Yes, 0","-"
"IUM83_18959","KAG6572510.1","putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase 110 kDa subunit","-","-","protein binding","GO:0005515","-","-","Yes, 0","Non-effector"
"IUM83_18958","KAG6572511.1","RNA binding protein","-","-","nucleic acid binding; zinc ion binding","GO:0003676; GO:0008270","-","-","No, 0","-"
"IUM83_19000","KAG6572512.1","Acidic chitinase","-","-","-","-","-","-","No, 0","-"
"IUM83_19001","KAG6572513.1","Endochitinase 1","-","-","-","-","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_19002","KAG6572514.1","hypothetical protein IUM83_19002","-","-","calcium ion binding","GO:0005509","-","-","No, 0","-"
"IUM83_19003","KAG6572515.1","Hsc70 cochaperone","nucleotide-excision repair; proteasome-mediated ubiquitin-dependent protein catabolic process; -","GO:0006289; GO:0043161; -","-; damaged DNA binding; protein binding","-; GO:0003684; GO:0005515","-","-","No, 0","-"
"IUM83_19004","KAG6572516.1","Mitochondrial glycoprotein","-","-","-","-","mitochondrial matrix","GO:0005759","No, 0","-"
"IUM83_19005","KAG6572517.1","putative N2,N2-dimethylguanosine tRNA methyltransferase","-","-","-","-","-","-","No, 0","-"
"IUM83_19006","KAG6572518.1","hypothetical protein IUM83_19006","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_19007","KAG6572519.1","reverse transcriptase","-","-","nucleic acid binding; zinc ion binding","GO:0003676; GO:0008270","-","-","No, 0","-"
"IUM83_19008","KAG6572520.1","Retrovirus polyprotein","DNA integration; -","GO:0015074; -","-; nucleic acid binding","-; GO:0003676","-","-","No, 0","-"
"IUM83_19009","KAG6572521.1","putative endo-1,3-beta-glucanase","-","-","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group","GO:0052861","-","-","No, 1","-"
"IUM83_18982","KAG6572522.1","putative lipase","lipid metabolic process; -","GO:0006629; -","-; hydrolase activity, acting on ester bonds","-; GO:0016788","-","-","Yes, 0","Non-effector"
"IUM83_18980","KAG6572523.1","NLRC3 protein","-","-","-","-","-","-","No, 0","-"
"IUM83_18986","KAG6572524.1","trafficking protein particle complex subunit 6B","regulation of GTPase activity; Golgi vesicle transport","GO:0043087; GO:0048193","-","-","-","-","No, 0","-"
"IUM83_18987","KAG6572525.1","Aspartate beta-hydroxylase domain-containing protein 2","peptidyl-amino acid modification; -","GO:0018193; -","-; methyltransferase activity","-; GO:0008168","-","-","No, 0","-"
"IUM83_18988","KAG6572526.1","Transcription initiation factor IID, 18kDa subunit","transcription by RNA polymerase II","GO:0006366","-","-","-","-","No, 0","-"
"IUM83_18989","KAG6572527.1","1-phosphatidylinositol 3-phosphate 5-kinase","-","-","metal ion binding","GO:0046872","-","-","No, 0","-"
"IUM83_18968","KAG6572528.1","Copine-like protein","-","-","-","-","-","-","No, 0","-"
"IUM83_18969","KAG6572529.1","Sulfate Permease (SulP) Family","sulfate transport; -","GO:0008272; -","-; sulfate transmembrane transporter activity","-; GO:0015116","-; membrane","-; GO:0016020","No, 11","-"
"IUM83_18964","KAG6572530.1","vesicle-associated membrane protein 7b","vesicle-mediated transport; -","GO:0016192; -","-","-","-; membrane","-; GO:0016020","No, 1","-"
"IUM83_18965","KAG6572531.1","NADP-dependent oxidoreductase domain","-","-","D-threo-aldose 1-dehydrogenase activity","GO:0047834","-","-","No, 0","-"
"IUM83_18966","KAG6572532.1","putative oxidoreductase C19A8.06","-","-","oxidoreductase activity","GO:0016491","-","-","No, 0","-"
"IUM83_18967","KAG6572533.1","Mannitol dehydrogenase","-","-","zinc ion binding; oxidoreductase activity; metal ion binding","GO:0008270; GO:0016491; GO:0046872","-","-","No, 0","-"
